Country,ds,final_prediction
British Virgin Islands,1962-01-01,
Brunei,1962-01-01,
Cape Verde,1962-01-01,
Cayman Islands,1962-01-01,
Chile,1962-01-01,
China,1962-01-01,
Colombia,1962-01-01,
Cook Islands,1962-01-01,
Dominica,1962-01-01,
Dominican Republic,1962-01-01,
Ecuador,1962-01-01,
Falkland Islands,1962-01-01,
Fiji,1962-01-01,
French Guiana,1962-01-01,
French Polynesia,1962-01-01,
Georgia,1962-01-01,
Greenland,1962-01-01,
Grenada,1962-01-01,
Guadeloupe,1962-01-01,
Guam,1962-01-01,
Guyana,1962-01-01,
Jamaica,1962-01-01,
Jordan,1962-01-01,
Kazakhstan,1962-01-01,
Kosovo,1962-01-01,
Kuwait,1962-01-01,
Kyrgyzstan,1962-01-01,
Lebanon,1962-01-01,
Malaysia,1962-01-01,
Mauritius,1962-01-01,
Mayotte,1962-01-01,
Mexico,1962-01-01,
Micronesia (country),1962-01-01,
Moldova,1962-01-01,
Montserrat,1962-01-01,
New Caledonia,1962-01-01,
Niue,1962-01-01,
North Korea,1962-01-01,
North Macedonia,1962-01-01,
Palestine,1962-01-01,
Panama,1962-01-01,
Paraguay,1962-01-01,
Peru,1962-01-01,
Philippines,1962-01-01,
Qatar,1962-01-01,
Reunion,1962-01-01,
Russia,1962-01-01,
Saint Kitts and Nevis,1962-01-01,
Saint Lucia,1962-01-01,
Saint Vincent and the Grenadines,1962-01-01,
Samoa,1962-01-01,
Saudi Arabia,1962-01-01,
Seychelles,1962-01-01,
South Korea,1962-01-01,
Sri Lanka,1962-01-01,
Suriname,1962-01-01,
Syria,1962-01-01,
Thailand,1962-01-01,
Tokelau,1962-01-01,
Tonga,1962-01-01,
Trinidad and Tobago,1962-01-01,
Tunisia,1962-01-01,
Turkey,1962-01-01,
Turkmenistan,1962-01-01,
Turks and Caicos Islands,1962-01-01,
United Arab Emirates,1962-01-01,
Uzbekistan,1962-01-01,
Vanuatu,1962-01-01,
Venezuela,1962-01-01,
Vietnam,1962-01-01,
Wallis and Futuna,1962-01-01,
Albania,1963-01-01,
Anguilla,1963-01-01,
Armenia,1963-01-01,
Azerbaijan,1963-01-01,
Bahamas,1963-01-01,
Bahrain,1963-01-01,
Belize,1963-01-01,
Bosnia and Herzegovina,1963-01-01,
Brazil,1963-01-01,
British Virgin Islands,1963-01-01,
Brunei,1963-01-01,
Cape Verde,1963-01-01,
Cayman Islands,1963-01-01,
Chile,1963-01-01,
China,1963-01-01,
Colombia,1963-01-01,
Cook Islands,1963-01-01,
Dominica,1963-01-01,
Dominican Republic,1963-01-01,
Ecuador,1963-01-01,
Falkland Islands,1963-01-01,
Fiji,1963-01-01,
French Guiana,1963-01-01,
French Polynesia,1963-01-01,
Georgia,1963-01-01,
Greenland,1963-01-01,
Grenada,1963-01-01,
Guadeloupe,1963-01-01,
Guam,1963-01-01,
Guyana,1963-01-01,
Jamaica,1963-01-01,
Jordan,1963-01-01,
Kazakhstan,1963-01-01,
Kosovo,1963-01-01,
Kuwait,1963-01-01,
Kyrgyzstan,1963-01-01,
Lebanon,1963-01-01,
Malaysia,1963-01-01,
Mauritius,1963-01-01,
Mayotte,1963-01-01,
Mexico,1963-01-01,
Micronesia (country),1963-01-01,
Moldova,1963-01-01,
Montserrat,1963-01-01,
New Caledonia,1963-01-01,
Niue,1963-01-01,
North Korea,1963-01-01,
North Macedonia,1963-01-01,
Palestine,1963-01-01,
Panama,1963-01-01,
Paraguay,1963-01-01,
Peru,1963-01-01,
Philippines,1963-01-01,
Qatar,1963-01-01,
Reunion,1963-01-01,
Russia,1963-01-01,
Saint Kitts and Nevis,1963-01-01,
Saint Lucia,1963-01-01,
Saint Vincent and the Grenadines,1963-01-01,
Samoa,1963-01-01,
Saudi Arabia,1963-01-01,
Seychelles,1963-01-01,
South Korea,1963-01-01,
Sri Lanka,1963-01-01,
Suriname,1963-01-01,
Syria,1963-01-01,
Thailand,1963-01-01,
Tokelau,1963-01-01,
Tonga,1963-01-01,
Trinidad and Tobago,1963-01-01,
Tunisia,1963-01-01,
Turkey,1963-01-01,
Turkmenistan,1963-01-01,
Turks and Caicos Islands,1963-01-01,
United Arab Emirates,1963-01-01,
Uzbekistan,1963-01-01,
Vanuatu,1963-01-01,
Venezuela,1963-01-01,
Vietnam,1963-01-01,
Wallis and Futuna,1963-01-01,
Albania,1964-01-01,
Anguilla,1964-01-01,
Armenia,1964-01-01,
Azerbaijan,1964-01-01,
Bahamas,1964-01-01,
Bahrain,1964-01-01,
Belize,1964-01-01,
Bosnia and Herzegovina,1964-01-01,
Brazil,1964-01-01,
British Virgin Islands,1964-01-01,
Brunei,1964-01-01,
Cape Verde,1964-01-01,
Cayman Islands,1964-01-01,
Chile,1964-01-01,
China,1964-01-01,
Colombia,1964-01-01,
Cook Islands,1964-01-01,
Dominica,1964-01-01,
Dominican Republic,1964-01-01,
Ecuador,1964-01-01,
Falkland Islands,1964-01-01,
Fiji,1964-01-01,
French Guiana,1964-01-01,
French Polynesia,1964-01-01,
Georgia,1964-01-01,
Greenland,1964-01-01,
Grenada,1964-01-01,
Guadeloupe,1964-01-01,
Guam,1964-01-01,
Guyana,1964-01-01,
Jamaica,1964-01-01,
Jordan,1964-01-01,
Kazakhstan,1964-01-01,
Kosovo,1964-01-01,
Kuwait,1964-01-01,
Kyrgyzstan,1964-01-01,
Lebanon,1964-01-01,
Malaysia,1964-01-01,
Mauritius,1964-01-01,
Mayotte,1964-01-01,
Mexico,1964-01-01,
Micronesia (country),1964-01-01,
Moldova,1964-01-01,
Montserrat,1964-01-01,
New Caledonia,1964-01-01,
Niue,1964-01-01,
North Korea,1964-01-01,
North Macedonia,1964-01-01,
Palestine,1964-01-01,
Panama,1964-01-01,
Paraguay,1964-01-01,
Peru,1964-01-01,
Philippines,1964-01-01,
Qatar,1964-01-01,
Reunion,1964-01-01,
Russia,1964-01-01,
Saint Kitts and Nevis,1964-01-01,
Saint Lucia,1964-01-01,
Saint Vincent and the Grenadines,1964-01-01,
Samoa,1964-01-01,
Saudi Arabia,1964-01-01,
Seychelles,1964-01-01,
South Korea,1964-01-01,
Sri Lanka,1964-01-01,
Suriname,1964-01-01,
Syria,1964-01-01,
Thailand,1964-01-01,
Tokelau,1964-01-01,
Tonga,1964-01-01,
Trinidad and Tobago,1964-01-01,
Tunisia,1964-01-01,
Turkey,1964-01-01,
Turkmenistan,1964-01-01,
Turks and Caicos Islands,1964-01-01,
United Arab Emirates,1964-01-01,
Uzbekistan,1964-01-01,
Vanuatu,1964-01-01,
Venezuela,1964-01-01,
Vietnam,1964-01-01,
Wallis and Futuna,1964-01-01,
Albania,1965-01-01,
Anguilla,1965-01-01,
Armenia,1965-01-01,
Azerbaijan,1965-01-01,
Bahamas,1965-01-01,
Bahrain,1965-01-01,
Belize,1965-01-01,
Bosnia and Herzegovina,1965-01-01,
Brazil,1965-01-01,
British Virgin Islands,1965-01-01,
Brunei,1965-01-01,
Cape Verde,1965-01-01,
Cayman Islands,1965-01-01,
Chile,1965-01-01,
China,1965-01-01,
Colombia,1965-01-01,
Cook Islands,1965-01-01,
Dominica,1965-01-01,
Dominican Republic,1965-01-01,
Ecuador,1965-01-01,
Falkland Islands,1965-01-01,
Fiji,1965-01-01,
French Guiana,1965-01-01,
French Polynesia,1965-01-01,
Georgia,1965-01-01,
Greenland,1965-01-01,
Grenada,1965-01-01,
Guadeloupe,1965-01-01,
Guam,1965-01-01,
Guyana,1965-01-01,
Jamaica,1965-01-01,
Jordan,1965-01-01,
Kazakhstan,1965-01-01,
Kosovo,1965-01-01,
Kuwait,1965-01-01,
Kyrgyzstan,1965-01-01,
Lebanon,1965-01-01,
Malaysia,1965-01-01,
Mauritius,1965-01-01,
Mayotte,1965-01-01,
Mexico,1965-01-01,
Micronesia (country),1965-01-01,
Moldova,1965-01-01,
Montserrat,1965-01-01,
New Caledonia,1965-01-01,
Niue,1965-01-01,
North Korea,1965-01-01,
North Macedonia,1965-01-01,
Palestine,1965-01-01,
Panama,1965-01-01,
Paraguay,1965-01-01,
Peru,1965-01-01,
Philippines,1965-01-01,
Qatar,1965-01-01,
Reunion,1965-01-01,
Russia,1965-01-01,
Saint Kitts and Nevis,1965-01-01,
Saint Lucia,1965-01-01,
Saint Vincent and the Grenadines,1965-01-01,
Samoa,1965-01-01,
Saudi Arabia,1965-01-01,
Seychelles,1965-01-01,
South Korea,1965-01-01,
Sri Lanka,1965-01-01,
Suriname,1965-01-01,
Syria,1965-01-01,
Thailand,1965-01-01,
Tokelau,1965-01-01,
Tonga,1965-01-01,
Trinidad and Tobago,1965-01-01,
Tunisia,1965-01-01,
Turkey,1965-01-01,
Turkmenistan,1965-01-01,
Turks and Caicos Islands,1965-01-01,
United Arab Emirates,1965-01-01,
Uzbekistan,1965-01-01,
Vanuatu,1965-01-01,
Venezuela,1965-01-01,
Vietnam,1965-01-01,
Wallis and Futuna,1965-01-01,
Albania,1966-01-01,
Anguilla,1966-01-01,
Armenia,1966-01-01,
Azerbaijan,1966-01-01,
Bahamas,1966-01-01,
Bahrain,1966-01-01,
Belize,1966-01-01,
Bosnia and Herzegovina,1966-01-01,
Brazil,1966-01-01,
British Virgin Islands,1966-01-01,
Brunei,1966-01-01,
Cape Verde,1966-01-01,
Cayman Islands,1966-01-01,
Chile,1966-01-01,
China,1966-01-01,
Colombia,1966-01-01,
Cook Islands,1966-01-01,
Dominica,1966-01-01,
Dominican Republic,1966-01-01,
Ecuador,1966-01-01,
Falkland Islands,1966-01-01,
Fiji,1966-01-01,
French Guiana,1966-01-01,
French Polynesia,1966-01-01,
Georgia,1966-01-01,
Greenland,1966-01-01,
Grenada,1966-01-01,
Guadeloupe,1966-01-01,
Guam,1966-01-01,
Guyana,1966-01-01,
Jamaica,1966-01-01,
Jordan,1966-01-01,
Kazakhstan,1966-01-01,
Kosovo,1966-01-01,
Kuwait,1966-01-01,
Kyrgyzstan,1966-01-01,
Lebanon,1966-01-01,
Malaysia,1966-01-01,
Mauritius,1966-01-01,
Mayotte,1966-01-01,
Mexico,1966-01-01,
Micronesia (country),1966-01-01,
Moldova,1966-01-01,
Montserrat,1966-01-01,
New Caledonia,1966-01-01,
Niue,1966-01-01,
North Korea,1966-01-01,
North Macedonia,1966-01-01,
Palestine,1966-01-01,
Panama,1966-01-01,
Paraguay,1966-01-01,
Peru,1966-01-01,
Philippines,1966-01-01,
Qatar,1966-01-01,
Reunion,1966-01-01,
Russia,1966-01-01,
Saint Kitts and Nevis,1966-01-01,
Saint Lucia,1966-01-01,
Saint Vincent and the Grenadines,1966-01-01,
Samoa,1966-01-01,
Saudi Arabia,1966-01-01,
Seychelles,1966-01-01,
South Korea,1966-01-01,
Sri Lanka,1966-01-01,
Suriname,1966-01-01,
Syria,1966-01-01,
Thailand,1966-01-01,
Tokelau,1966-01-01,
Tonga,1966-01-01,
Trinidad and Tobago,1966-01-01,
Tunisia,1966-01-01,
Turkey,1966-01-01,
Turkmenistan,1966-01-01,
Turks and Caicos Islands,1966-01-01,
United Arab Emirates,1966-01-01,
Uzbekistan,1966-01-01,
Vanuatu,1966-01-01,
Venezuela,1966-01-01,
Vietnam,1966-01-01,
Wallis and Futuna,1966-01-01,
Albania,1967-01-01,
Anguilla,1967-01-01,
Armenia,1967-01-01,
Azerbaijan,1967-01-01,
Bahamas,1967-01-01,
Bahrain,1967-01-01,
Belize,1967-01-01,
Bosnia and Herzegovina,1967-01-01,
Brazil,1967-01-01,
British Virgin Islands,1967-01-01,
Brunei,1967-01-01,
Cape Verde,1967-01-01,
Cayman Islands,1967-01-01,
Chile,1967-01-01,
China,1967-01-01,
Colombia,1967-01-01,
Cook Islands,1967-01-01,
Dominica,1967-01-01,
Dominican Republic,1967-01-01,
Ecuador,1967-01-01,
Falkland Islands,1967-01-01,
Fiji,1967-01-01,
French Guiana,1967-01-01,
French Polynesia,1967-01-01,
Georgia,1967-01-01,
Greenland,1967-01-01,
Grenada,1967-01-01,
Guadeloupe,1967-01-01,
Guam,1967-01-01,
Guyana,1967-01-01,
Jamaica,1967-01-01,
Jordan,1967-01-01,
Kazakhstan,1967-01-01,
Kosovo,1967-01-01,
Kuwait,1967-01-01,
Kyrgyzstan,1967-01-01,
Lebanon,1967-01-01,
Malaysia,1967-01-01,
Mauritius,1967-01-01,
Mayotte,1967-01-01,
Mexico,1967-01-01,
Micronesia (country),1967-01-01,
Moldova,1967-01-01,
Montserrat,1967-01-01,
New Caledonia,1967-01-01,
Niue,1967-01-01,
North Korea,1967-01-01,
North Macedonia,1967-01-01,
Palestine,1967-01-01,
Panama,1967-01-01,
Paraguay,1967-01-01,
Peru,1967-01-01,
Philippines,1967-01-01,
Qatar,1967-01-01,
Reunion,1967-01-01,
Russia,1967-01-01,
Saint Kitts and Nevis,1967-01-01,
Saint Lucia,1967-01-01,
Saint Vincent and the Grenadines,1967-01-01,
Samoa,1967-01-01,
Saudi Arabia,1967-01-01,
Seychelles,1967-01-01,
South Korea,1967-01-01,
Sri Lanka,1967-01-01,
Suriname,1967-01-01,
Syria,1967-01-01,
Thailand,1967-01-01,
Tokelau,1967-01-01,
Tonga,1967-01-01,
Trinidad and Tobago,1967-01-01,
Tunisia,1967-01-01,
Turkey,1967-01-01,
Turkmenistan,1967-01-01,
Turks and Caicos Islands,1967-01-01,
United Arab Emirates,1967-01-01,
Uzbekistan,1967-01-01,
Vanuatu,1967-01-01,
Venezuela,1967-01-01,
Vietnam,1967-01-01,
Wallis and Futuna,1967-01-01,
Albania,1968-01-01,
Anguilla,1968-01-01,
Armenia,1968-01-01,
Azerbaijan,1968-01-01,
Bahamas,1968-01-01,
Bahrain,1968-01-01,
Belize,1968-01-01,
Bosnia and Herzegovina,1968-01-01,
Brazil,1968-01-01,
British Virgin Islands,1968-01-01,
Brunei,1968-01-01,
Cape Verde,1968-01-01,
Cayman Islands,1968-01-01,
Chile,1968-01-01,
China,1968-01-01,
Colombia,1968-01-01,
Cook Islands,1968-01-01,
Dominica,1968-01-01,
Dominican Republic,1968-01-01,
Ecuador,1968-01-01,
Falkland Islands,1968-01-01,
Fiji,1968-01-01,
French Guiana,1968-01-01,
French Polynesia,1968-01-01,
Georgia,1968-01-01,
Greenland,1968-01-01,
Grenada,1968-01-01,
Guadeloupe,1968-01-01,
Guam,1968-01-01,
Guyana,1968-01-01,
Jamaica,1968-01-01,
Jordan,1968-01-01,
Kazakhstan,1968-01-01,
Kosovo,1968-01-01,
Kuwait,1968-01-01,
Kyrgyzstan,1968-01-01,
Lebanon,1968-01-01,
Malaysia,1968-01-01,
Mauritius,1968-01-01,
Mayotte,1968-01-01,
Mexico,1968-01-01,
Micronesia (country),1968-01-01,
Moldova,1968-01-01,
Montserrat,1968-01-01,
New Caledonia,1968-01-01,
Niue,1968-01-01,
North Korea,1968-01-01,
North Macedonia,1968-01-01,
Palestine,1968-01-01,
Panama,1968-01-01,
Paraguay,1968-01-01,
Peru,1968-01-01,
Philippines,1968-01-01,
Qatar,1968-01-01,
Reunion,1968-01-01,
Russia,1968-01-01,
Saint Kitts and Nevis,1968-01-01,
Saint Lucia,1968-01-01,
Saint Vincent and the Grenadines,1968-01-01,
Samoa,1968-01-01,
Saudi Arabia,1968-01-01,
Seychelles,1968-01-01,
South Korea,1968-01-01,
Sri Lanka,1968-01-01,
Suriname,1968-01-01,
Syria,1968-01-01,
Thailand,1968-01-01,
Tokelau,1968-01-01,
Tonga,1968-01-01,
Trinidad and Tobago,1968-01-01,
Tunisia,1968-01-01,
Turkey,1968-01-01,
Turkmenistan,1968-01-01,
Turks and Caicos Islands,1968-01-01,
United Arab Emirates,1968-01-01,
Uzbekistan,1968-01-01,
Vanuatu,1968-01-01,
Venezuela,1968-01-01,
Vietnam,1968-01-01,
Wallis and Futuna,1968-01-01,
Albania,1969-01-01,
Anguilla,1969-01-01,
Armenia,1969-01-01,
Azerbaijan,1969-01-01,
Bahamas,1969-01-01,
Bahrain,1969-01-01,
Belize,1969-01-01,
Bosnia and Herzegovina,1969-01-01,
Brazil,1969-01-01,
British Virgin Islands,1969-01-01,
Brunei,1969-01-01,
Cape Verde,1969-01-01,
Cayman Islands,1969-01-01,
Chile,1969-01-01,
China,1969-01-01,
Colombia,1969-01-01,
Cook Islands,1969-01-01,
Dominica,1969-01-01,
Dominican Republic,1969-01-01,
Ecuador,1969-01-01,
Falkland Islands,1969-01-01,
Fiji,1969-01-01,
French Guiana,1969-01-01,
French Polynesia,1969-01-01,
Georgia,1969-01-01,
Greenland,1969-01-01,
Grenada,1969-01-01,
Guadeloupe,1969-01-01,
Guam,1969-01-01,
Guyana,1969-01-01,
Jamaica,1969-01-01,
Jordan,1969-01-01,
Kazakhstan,1969-01-01,
Kosovo,1969-01-01,
Kuwait,1969-01-01,
Kyrgyzstan,1969-01-01,
Lebanon,1969-01-01,
Malaysia,1969-01-01,
Mauritius,1969-01-01,
Mayotte,1969-01-01,
Mexico,1969-01-01,
Micronesia (country),1969-01-01,
Moldova,1969-01-01,
Montserrat,1969-01-01,
New Caledonia,1969-01-01,
Niue,1969-01-01,
North Korea,1969-01-01,
North Macedonia,1969-01-01,
Palestine,1969-01-01,
Panama,1969-01-01,
Paraguay,1969-01-01,
Peru,1969-01-01,
Philippines,1969-01-01,
Qatar,1969-01-01,
Reunion,1969-01-01,
Russia,1969-01-01,
Saint Kitts and Nevis,1969-01-01,
Saint Lucia,1969-01-01,
Saint Vincent and the Grenadines,1969-01-01,
Samoa,1969-01-01,
Saudi Arabia,1969-01-01,
Seychelles,1969-01-01,
South Korea,1969-01-01,
Sri Lanka,1969-01-01,
Suriname,1969-01-01,
Syria,1969-01-01,
Thailand,1969-01-01,
Tokelau,1969-01-01,
Tonga,1969-01-01,
Trinidad and Tobago,1969-01-01,
Tunisia,1969-01-01,
Turkey,1969-01-01,
Turkmenistan,1969-01-01,
Turks and Caicos Islands,1969-01-01,
United Arab Emirates,1969-01-01,
Uzbekistan,1969-01-01,
Vanuatu,1969-01-01,
Venezuela,1969-01-01,
Vietnam,1969-01-01,
Wallis and Futuna,1969-01-01,
Albania,1970-01-01,
Anguilla,1970-01-01,
Armenia,1970-01-01,
Azerbaijan,1970-01-01,
Bahamas,1970-01-01,
Bahrain,1970-01-01,
Belize,1970-01-01,
Bosnia and Herzegovina,1970-01-01,
Brazil,1970-01-01,
British Virgin Islands,1970-01-01,
Brunei,1970-01-01,
Cape Verde,1970-01-01,
Cayman Islands,1970-01-01,
Chile,1970-01-01,
China,1970-01-01,
Colombia,1970-01-01,
Cook Islands,1970-01-01,
Dominica,1970-01-01,
Dominican Republic,1970-01-01,
Ecuador,1970-01-01,
Falkland Islands,1970-01-01,
Fiji,1970-01-01,
French Guiana,1970-01-01,
French Polynesia,1970-01-01,
Georgia,1970-01-01,
Greenland,1970-01-01,
Grenada,1970-01-01,
Guadeloupe,1970-01-01,
Guam,1970-01-01,
Guyana,1970-01-01,
Jamaica,1970-01-01,
Jordan,1970-01-01,
Kazakhstan,1970-01-01,
Kosovo,1970-01-01,
Kuwait,1970-01-01,
Kyrgyzstan,1970-01-01,
Lebanon,1970-01-01,
Malaysia,1970-01-01,
Mauritius,1970-01-01,
Mayotte,1970-01-01,
Mexico,1970-01-01,
Micronesia (country),1970-01-01,
Moldova,1970-01-01,
Montserrat,1970-01-01,
New Caledonia,1970-01-01,
Niue,1970-01-01,
North Korea,1970-01-01,
North Macedonia,1970-01-01,
Palestine,1970-01-01,
Panama,1970-01-01,
Paraguay,1970-01-01,
Peru,1970-01-01,
Philippines,1970-01-01,
Qatar,1970-01-01,
Reunion,1970-01-01,
Russia,1970-01-01,
Saint Kitts and Nevis,1970-01-01,
Saint Lucia,1970-01-01,
Saint Vincent and the Grenadines,1970-01-01,
Samoa,1970-01-01,
Saudi Arabia,1970-01-01,
Seychelles,1970-01-01,
South Korea,1970-01-01,
Sri Lanka,1970-01-01,
Suriname,1970-01-01,
Syria,1970-01-01,
Thailand,1970-01-01,
Tokelau,1970-01-01,
Tonga,1970-01-01,
Trinidad and Tobago,1970-01-01,
Tunisia,1970-01-01,
Turkey,1970-01-01,
Turkmenistan,1970-01-01,
Turks and Caicos Islands,1970-01-01,
United Arab Emirates,1970-01-01,
Uzbekistan,1970-01-01,
Vanuatu,1970-01-01,
Venezuela,1970-01-01,
Vietnam,1970-01-01,
Wallis and Futuna,1970-01-01,
Albania,1971-01-01,
Anguilla,1971-01-01,
Armenia,1971-01-01,
Azerbaijan,1971-01-01,
Bahamas,1971-01-01,
Bahrain,1971-01-01,
Belize,1971-01-01,
Bosnia and Herzegovina,1971-01-01,
Brazil,1971-01-01,
British Virgin Islands,1971-01-01,
Brunei,1971-01-01,
Cape Verde,1971-01-01,
Cayman Islands,1971-01-01,
Chile,1971-01-01,
China,1971-01-01,
Colombia,1971-01-01,
Cook Islands,1971-01-01,
Dominica,1971-01-01,
Dominican Republic,1971-01-01,
Ecuador,1971-01-01,
Falkland Islands,1971-01-01,
Fiji,1971-01-01,
French Guiana,1971-01-01,
French Polynesia,1971-01-01,
Georgia,1971-01-01,
Greenland,1971-01-01,
Grenada,1971-01-01,
Guadeloupe,1971-01-01,
Guam,1971-01-01,
Guyana,1971-01-01,
Jamaica,1971-01-01,
Jordan,1971-01-01,
Kazakhstan,1971-01-01,
Kosovo,1971-01-01,
Kuwait,1971-01-01,
Kyrgyzstan,1971-01-01,
Lebanon,1971-01-01,
Malaysia,1971-01-01,
Mauritius,1971-01-01,
Mayotte,1971-01-01,
Mexico,1971-01-01,
Micronesia (country),1971-01-01,
Moldova,1971-01-01,
Montserrat,1971-01-01,
New Caledonia,1971-01-01,
Niue,1971-01-01,
North Korea,1971-01-01,
North Macedonia,1971-01-01,
Palestine,1971-01-01,
Panama,1971-01-01,
Paraguay,1971-01-01,
Peru,1971-01-01,
Philippines,1971-01-01,
Qatar,1971-01-01,
Reunion,1971-01-01,
Russia,1971-01-01,
Saint Kitts and Nevis,1971-01-01,
Saint Lucia,1971-01-01,
Saint Vincent and the Grenadines,1971-01-01,
Samoa,1971-01-01,
Saudi Arabia,1971-01-01,
Seychelles,1971-01-01,
South Korea,1971-01-01,
Sri Lanka,1971-01-01,
Suriname,1971-01-01,
Syria,1971-01-01,
Thailand,1971-01-01,
Tokelau,1971-01-01,
Tonga,1971-01-01,
Trinidad and Tobago,1971-01-01,
Tunisia,1971-01-01,
Turkey,1971-01-01,
Turkmenistan,1971-01-01,
Turks and Caicos Islands,1971-01-01,
United Arab Emirates,1971-01-01,
Uzbekistan,1971-01-01,
Vanuatu,1971-01-01,
Venezuela,1971-01-01,
Vietnam,1971-01-01,
Wallis and Futuna,1971-01-01,
Albania,1972-01-01,
Anguilla,1972-01-01,
Armenia,1972-01-01,
Azerbaijan,1972-01-01,
Bahamas,1972-01-01,
Bahrain,1972-01-01,
Belize,1972-01-01,
Bosnia and Herzegovina,1972-01-01,
Brazil,1972-01-01,
British Virgin Islands,1972-01-01,
Brunei,1972-01-01,
Cape Verde,1972-01-01,
Cayman Islands,1972-01-01,
Chile,1972-01-01,
China,1972-01-01,
Colombia,1972-01-01,
Cook Islands,1972-01-01,
Dominica,1972-01-01,
Dominican Republic,1972-01-01,
Ecuador,1972-01-01,
Falkland Islands,1972-01-01,
Fiji,1972-01-01,
French Guiana,1972-01-01,
French Polynesia,1972-01-01,
Georgia,1972-01-01,
Greenland,1972-01-01,
Grenada,1972-01-01,
Guadeloupe,1972-01-01,
Guam,1972-01-01,
Guyana,1972-01-01,
Jamaica,1972-01-01,
Jordan,1972-01-01,
Kazakhstan,1972-01-01,
Kosovo,1972-01-01,
Kuwait,1972-01-01,
Kyrgyzstan,1972-01-01,
Lebanon,1972-01-01,
Malaysia,1972-01-01,
Mauritius,1972-01-01,
Mayotte,1972-01-01,
Mexico,1972-01-01,
Micronesia (country),1972-01-01,
Moldova,1972-01-01,
Montserrat,1972-01-01,
New Caledonia,1972-01-01,
Niue,1972-01-01,
North Korea,1972-01-01,
North Macedonia,1972-01-01,
Palestine,1972-01-01,
Panama,1972-01-01,
Paraguay,1972-01-01,
Peru,1972-01-01,
Philippines,1972-01-01,
Qatar,1972-01-01,
Reunion,1972-01-01,
Russia,1972-01-01,
Saint Kitts and Nevis,1972-01-01,
Saint Lucia,1972-01-01,
Saint Vincent and the Grenadines,1972-01-01,
Samoa,1972-01-01,
Saudi Arabia,1972-01-01,
Seychelles,1972-01-01,
South Korea,1972-01-01,
Sri Lanka,1972-01-01,
Suriname,1972-01-01,
Syria,1972-01-01,
Thailand,1972-01-01,
Tokelau,1972-01-01,
Tonga,1972-01-01,
Trinidad and Tobago,1972-01-01,
Tunisia,1972-01-01,
Turkey,1972-01-01,
Turkmenistan,1972-01-01,
Turks and Caicos Islands,1972-01-01,
United Arab Emirates,1972-01-01,
Uzbekistan,1972-01-01,
Vanuatu,1972-01-01,
Venezuela,1972-01-01,
Vietnam,1972-01-01,
Wallis and Futuna,1972-01-01,
Albania,1973-01-01,
Anguilla,1973-01-01,
Armenia,1973-01-01,
Azerbaijan,1973-01-01,
Bahamas,1973-01-01,
Bahrain,1973-01-01,
Belize,1973-01-01,
Bosnia and Herzegovina,1973-01-01,
Brazil,1973-01-01,
British Virgin Islands,1973-01-01,
Brunei,1973-01-01,
Cape Verde,1973-01-01,
Cayman Islands,1973-01-01,
Chile,1973-01-01,
China,1973-01-01,
Colombia,1973-01-01,
Cook Islands,1973-01-01,
Dominica,1973-01-01,
Dominican Republic,1973-01-01,
Ecuador,1973-01-01,
Falkland Islands,1973-01-01,
Fiji,1973-01-01,
French Guiana,1973-01-01,
French Polynesia,1973-01-01,
Georgia,1973-01-01,
Greenland,1973-01-01,
Grenada,1973-01-01,
Guadeloupe,1973-01-01,
Guam,1973-01-01,
Guyana,1973-01-01,
Jamaica,1973-01-01,
Jordan,1973-01-01,
Kazakhstan,1973-01-01,
Kosovo,1973-01-01,
Kuwait,1973-01-01,
Kyrgyzstan,1973-01-01,
Lebanon,1973-01-01,
Malaysia,1973-01-01,
Mauritius,1973-01-01,
Mayotte,1973-01-01,
Mexico,1973-01-01,
Micronesia (country),1973-01-01,
Moldova,1973-01-01,
Montserrat,1973-01-01,
New Caledonia,1973-01-01,
Niue,1973-01-01,
North Korea,1973-01-01,
North Macedonia,1973-01-01,
Palestine,1973-01-01,
Panama,1973-01-01,
Paraguay,1973-01-01,
Peru,1973-01-01,
Philippines,1973-01-01,
Qatar,1973-01-01,
Reunion,1973-01-01,
Russia,1973-01-01,
Saint Kitts and Nevis,1973-01-01,
Saint Lucia,1973-01-01,
Saint Vincent and the Grenadines,1973-01-01,
Samoa,1973-01-01,
Saudi Arabia,1973-01-01,
Seychelles,1973-01-01,
South Korea,1973-01-01,
Sri Lanka,1973-01-01,
Suriname,1973-01-01,
Syria,1973-01-01,
Thailand,1973-01-01,
Tokelau,1973-01-01,
Tonga,1973-01-01,
Trinidad and Tobago,1973-01-01,
Tunisia,1973-01-01,
Turkey,1973-01-01,
Turkmenistan,1973-01-01,
Turks and Caicos Islands,1973-01-01,
United Arab Emirates,1973-01-01,
Uzbekistan,1973-01-01,
Vanuatu,1973-01-01,
Venezuela,1973-01-01,
Vietnam,1973-01-01,
Wallis and Futuna,1973-01-01,
Albania,1974-01-01,
Anguilla,1974-01-01,
Armenia,1974-01-01,
Azerbaijan,1974-01-01,
Bahamas,1974-01-01,
Bahrain,1974-01-01,
Belize,1974-01-01,
Bosnia and Herzegovina,1974-01-01,
Brazil,1974-01-01,
British Virgin Islands,1974-01-01,
Brunei,1974-01-01,
Cape Verde,1974-01-01,
Cayman Islands,1974-01-01,
Chile,1974-01-01,
China,1974-01-01,
Colombia,1974-01-01,
Cook Islands,1974-01-01,
Dominica,1974-01-01,
Dominican Republic,1974-01-01,
